texto,nota,data,produto
Veio com defeito e não querem trocar.,1,2026-08-21,Caixa de Som
"Entrega ok, produto razoável.",3,2026-07-16,Caixa de Som
"Bom pelo preço, mas poderia ser melhor.",4,2026-08-01,Caixa de Som
"Funciona, mas o manual é confuso.",3,2026-08-14,Caixa de Som
"Atende, mas o acabamento deixa a desejar.",4,2026-09-07,Capa Celular
Embalagem amassada e produto arranhado.,1,2026-08-29,Capa Celular
Tive que pagar taxa extra sem aviso.,1,2026-08-12,Fone Bluetooth
"Comprei de novo, cliente fiel!",5,2026-08-24,Caixa de Som
Chegou rapidinho e funciona perfeitamente.,4,2026-08-10,Carregador Turbo
"Propaganda enganosa, me senti lesado.",1,2026-07-21,Smartwatch
Melhor custo-benefício que já vi.,5,2026-08-05,Fone Bluetooth
"Produto ok, nada demais, cumpre o que promete.",4,2026-08-23,Carregador Turbo
"Atendimento horrível, me ignoraram no chat.",1,2026-08-23,Fone Bluetooth
"Atendimento nota 10, muito atenciosos.",4,2026-07-23,Smartwatch
"Normal, sem surpresas.",3,2026-08-08,Smartwatch
"Não funciona, dinheiro jogado fora.",1,2026-08-27,Carregador Turbo
"Qualidade surpreendente, superou expectativas.",5,2026-09-03,Capa Celular
"É o que eu esperava, nem bom nem ruim.",4,2026-08-26,Smartwatch
"Suporte respondeu em 5 minutos, incrível.",4,2026-08-22,Caixa de Som
"Material de ótima qualidade, acabamento perfeito.",4,2026-08-31,Caixa de Som
"Produto original, recomendo demais a loja.",4,2026-08-06,Caixa de Som
"Quebrou com 2 dias de uso, não recomendo.",1,2026-08-20,Fone Bluetooth
"Entrega antes do prazo, produto impecável!",5,2026-08-08,Capa Celular
"Chegou no prazo, qualidade mediana.",4,2026-08-26,Smartwatch
"Demorou 20 dias pra chegar, péssima logística.",1,2026-07-28,Caixa de Som
"Amei a embalagem, veio super protegido.",5,2026-08-04,Caixa de Som
Cobraram frete abusivo e ainda atrasou.,1,2026-08-10,Carregador Turbo
"Preço justo, qualidade na média.",4,2026-07-23,Carregador Turbo
Produto totalmente diferente da foto.,1,2026-07-29,Fone Bluetooth
"Uso básico, para quem não exige muito.",3,2026-09-04,Carregador Turbo
